id,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
5127016,jbs argentina s.a.,swift.com.ar,1907.0,food & beverages,201 - 500,"buenos aires, buenos aires f.d., argentina",argentina,linkedin.com/company/jbs-argentina-sa,126,441
5820044,almco oil & gas,almcogroup.com,,oil & energy,201 - 500,,,linkedin.com/company/almco-oil-&-gas,163,339
1856096,demis group,demis.ru,2004.0,information technology and services,201 - 500,"moskva, moscow, russia",russia,linkedin.com/company/demis-group,120,270
1831218,harris corporation gcs,,1895.0,defense & space,201 - 500,"palm bay, florida, united states",united states,linkedin.com/company/harris-corporation-gcs,121,258
3306636,aacrea,,1960.0,research,201 - 500,,,linkedin.com/company/movimientocrea,108,213
3005722,camil alimentos s/a,camil.com.br,1963.0,food & beverages,1001 - 5000,"ferraz, sao paulo, brazil",brazil,linkedin.com/company/camil-alimentos-s-a,449,827
4451250,orthoatlanta,orthoatlanta.com,2002.0,medical practice,201 - 500,"atlanta, georgia, united states",united states,linkedin.com/company/orthoatlanta,133,199
5350481,cazenove capital management,cazenovecapital.com,1823.0,investment management,201 - 500,"london, london, united kingdom",united kingdom,linkedin.com/company/cazenove-capital,238,719
832,sanatorio las lomas s.a.,laslomas.com.ar,,"health, wellness and fitness",501 - 1000,"san isidro, buenos aires, argentina",argentina,linkedin.com/company/sanatorio-las-lomas-s.a.,168,263
5709970,sulzer rotating equipment services,,1973.0,oil & energy,1001 - 5000,"venlo, limburg, netherlands",netherlands,linkedin.com/company/sulzer-turbo-services,382,840
4824150,"saint ignatius' college, riverview",riverview.nsw.edu.au,1880.0,primary/secondary education,201 - 500,,,linkedin.com/company/saint-ignatius'​-college-riverview,125,271
267196,info-tech research group,infotech.com,1997.0,information technology and services,501 - 1000,"london, ontario, canada",canada,linkedin.com/company/info-tech-research-group,454,1047
293104,iberdrola engineering and construction,,1994.0,utilities,1001 - 5000,,,linkedin.com/company/iberdrola-engineering-and-construction,640,1940
6155177,ministério dos negócios estrangeiros,mne.gov.pt,,international affairs,501 - 1000,,,linkedin.com/company/minist-rio-dos-neg-cios-estrangeiros,171,547
285361,"powersecure, inc.",powersecure.com,2000.0,electrical/electronic manufacturing,501 - 1000,"wake forest, north carolina, united states",united states,linkedin.com/company/powersecure,315,506
1889412,fundação seade,seade.gov.br,1978.0,public policy,201 - 500,"sao paulo, sao paulo, brazil",brazil,linkedin.com/company/fundacao-seade,119,371
4747982,change.org,change.org,2007.0,internet,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/change-org,152,652
2824498,sprachcaffe/geos languages plus,sprachcaffe.com,1983.0,"leisure, travel & tourism",201 - 500,"frankfurt am main, hesse, germany",germany,linkedin.com/company/sprachcaffe,132,677
6824653,allegro development corporation,allegrodev.com,1984.0,computer software,501 - 1000,"dallas, texas, united states",united states,linkedin.com/company/allegro-development,278,705
